datetime,bus_V,current_mA,power_mW,overflow
2026-06-21 02:48:35,5.135,421.25,2162.50,0
2026-06-21 02:48:39,5.135,420.50,2159.38,0
2026-06-21 02:48:42,5.134,421.98,2166.88,0
2026-06-21 02:48:45,5.134,422.17,2166.88,0
2026-06-21 02:48:48,5.133,423.40,2173.13,0
2026-06-21 02:48:51,5.134,422.17,2168.13,0
2026-06-21 02:48:54,5.135,421.25,2168.13,0
2026-06-21 02:48:57,5.134,422.12,2166.88,0
2026-06-21 02:49:00,5.135,421.45,2163.75,0
2026-06-21 02:49:03,5.135,421.58,2171.88,0
2026-06-21 02:49:06,5.135,422.83,2170.63,0
2026-06-21 02:49:09,5.134,421.48,2163.75,0
2026-06-21 02:49:12,5.133,422.62,2170.00,0
2026-06-21 02:49:15,5.133,420.80,2159.38,0
2026-06-21 02:49:18,5.135,420.87,2161.88,0
2026-06-21 02:49:21,5.134,420.77,2160.63,0
2026-06-21 02:49:24,5.134,421.90,2165.63,0
2026-06-21 02:49:27,5.135,422.55,2170.00,0
2026-06-21 02:49:30,5.135,420.23,2163.75,0
2026-06-21 02:49:33,5.133,423.17,2171.88,0
2026-06-21 02:49:36,5.135,422.98,2171.88,0
2026-06-21 02:49:39,5.135,421.52,2165.00,0
2026-06-21 02:49:42,5.134,422.87,2170.63,0
2026-06-21 02:49:45,5.135,420.83,2160.63,0
2026-06-21 02:49:48,5.134,421.37,2163.75,0
2026-06-21 02:49:51,5.133,423.23,2171.88,0
2026-06-21 02:49:54,5.134,422.15,2166.88,0
2026-06-21 02:49:57,5.134,423.23,2178.13,0
2026-06-21 02:50:00,5.134,422.27,2168.13,0
2026-06-21 02:50:03,5.134,423.17,2173.13,0
2026-06-21 02:50:06,5.134,423.00,2170.00,0
2026-06-21 02:50:09,5.135,422.30,2168.75,0
2026-06-21 02:50:12,5.135,421.48,2170.00,0
2026-06-21 02:50:15,5.133,422.40,2165.63,0
2026-06-21 02:50:18,5.133,419.98,2155.63,0
2026-06-21 02:50:21,5.133,422.17,2166.88,0
2026-06-21 02:50:24,5.136,422.75,2170.00,0
2026-06-21 02:50:27,5.136,421.80,2166.88,0
2026-06-21 02:50:30,5.134,420.25,2159.38,0
2026-06-21 02:50:33,5.134,404.70,2077.50,0
2026-06-21 02:50:36,5.133,422.60,2168.75,0
2026-06-21 02:50:39,5.134,421.08,2161.88,0
2026-06-21 02:50:42,5.134,420.95,2160.63,0
2026-06-21 02:50:45,5.134,420.45,2158.75,0
2026-06-21 02:50:48,5.134,421.75,2163.75,0
2026-06-21 02:50:51,5.135,421.80,2165.63,0
2026-06-21 02:50:54,5.135,421.85,2173.13,0
2026-06-21 02:50:57,5.135,423.40,2173.75,0
2026-06-21 02:51:00,5.136,421.42,2165.00,0
2026-06-21 02:51:03,5.135,422.75,2170.63,0
2026-06-21 02:51:06,5.135,423.35,2173.75,0
2026-06-21 02:51:09,5.133,424.10,2178.13,0
2026-06-21 02:51:12,5.135,417.58,2143.13,0
2026-06-21 02:51:15,5.134,419.87,2154.38,0
2026-06-21 02:51:18,5.134,422.17,2168.13,0
2026-06-21 02:51:21,5.134,421.75,2165.63,0
2026-06-21 02:51:24,5.135,422.58,2170.00,0
2026-06-21 02:51:27,5.135,422.27,2168.75,0
2026-06-21 02:51:30,5.135,423.05,2163.75,0
2026-06-21 02:51:34,5.134,421.70,2165.00,0
2026-06-21 02:51:37,5.134,410.87,2109.38,0
2026-06-21 02:51:40,5.134,421.20,2163.75,0
2026-06-21 02:51:43,5.135,422.17,2170.00,0
2026-06-21 02:51:46,5.134,421.42,2163.75,0
2026-06-21 02:51:49,5.134,421.70,2165.00,0
2026-06-21 02:51:52,5.135,421.75,2165.00,0
2026-06-21 02:51:55,5.136,422.25,2168.75,0
2026-06-21 02:51:58,5.135,417.15,2144.38,0
2026-06-21 02:52:01,5.135,418.80,2150.63,0
2026-06-21 02:52:04,5.134,421.67,2165.00,0
2026-06-21 02:52:07,5.135,421.12,2168.13,0
2026-06-21 02:52:10,5.135,422.12,2166.88,0
2026-06-21 02:52:13,5.135,421.90,2166.88,0
2026-06-21 02:52:16,5.134,422.12,2166.88,0
2026-06-21 02:52:19,5.134,423.00,2183.13,0
2026-06-21 02:52:22,5.133,423.40,2173.13,0
2026-06-21 02:52:25,5.135,424.20,2171.88,0
2026-06-21 02:52:28,5.134,423.10,2171.88,0
2026-06-21 02:52:31,5.135,407.92,2095.00,0
2026-06-21 02:52:34,5.134,422.37,2162.50,0
2026-06-21 02:52:37,5.134,421.35,2162.50,0
2026-06-21 02:52:40,5.134,420.75,2159.38,0
2026-06-21 02:52:43,5.135,420.98,2170.63,0
2026-06-21 02:52:46,5.135,422.25,2168.13,0
2026-06-21 02:52:49,5.135,420.95,2161.88,0
2026-06-21 02:52:52,5.134,422.60,2168.13,0
2026-06-21 02:52:55,5.136,421.35,2163.75,0
2026-06-21 02:52:58,5.134,421.35,2163.75,0
2026-06-21 02:53:01,5.135,422.90,2171.88,0
2026-06-21 02:53:04,5.135,420.67,2160.63,0
2026-06-21 02:53:07,5.135,423.73,2168.75,0
2026-06-21 02:53:10,5.135,421.40,2170.00,0
2026-06-21 02:53:13,5.135,421.48,2165.00,0
2026-06-21 02:53:16,5.135,421.98,2166.88,0
2026-06-21 02:53:19,5.135,421.12,2162.50,0
2026-06-21 02:53:22,5.133,422.12,2170.63,0
2026-06-21 02:53:25,5.134,421.42,2163.75,0
2026-06-21 02:53:28,5.135,420.92,2161.88,0
2026-06-21 02:53:31,5.134,421.35,2161.88,0
2026-06-21 02:53:34,5.134,422.30,2168.13,0
2026-06-21 02:53:37,5.135,422.40,2168.75,0
2026-06-21 02:53:40,5.134,423.50,2173.75,0
2026-06-21 02:53:43,5.134,421.55,2163.75,0
2026-06-21 02:53:46,5.134,420.50,2158.75,0
2026-06-21 02:53:49,5.135,422.87,2173.75,0
2026-06-21 02:53:52,5.134,420.95,2160.63,0
2026-06-21 02:53:55,5.134,420.20,2157.50,0
2026-06-21 02:53:58,5.135,404.33,2076.88,0
2026-06-21 02:54:01,5.134,423.73,2175.00,0
2026-06-21 02:54:04,5.134,423.33,2173.13,0
2026-06-21 02:54:07,5.135,422.67,2170.63,0
2026-06-21 02:54:10,5.134,423.35,2173.13,0
2026-06-21 02:54:13,5.133,420.55,2175.00,0
2026-06-21 02:54:16,5.136,422.45,2170.00,0
2026-06-21 02:54:19,5.135,422.58,2170.00,0
2026-06-21 02:54:22,5.136,422.65,2170.63,0
2026-06-21 02:54:26,5.134,422.08,2166.88,0
2026-06-21 02:54:29,5.134,423.58,2168.75,0
2026-06-21 02:54:32,5.133,423.48,2173.75,0
2026-06-21 02:54:35,5.134,422.80,2170.63,0
2026-06-21 02:54:38,5.133,423.23,2163.75,0
2026-06-21 02:54:41,5.134,420.55,2158.75,0
2026-06-21 02:54:44,5.133,423.90,2176.25,0
2026-06-21 02:54:47,5.133,422.70,2170.63,0
2026-06-21 02:54:50,5.133,422.62,2168.75,0
2026-06-21 02:54:53,5.134,422.67,2173.75,0
2026-06-21 02:54:56,5.136,421.55,2165.00,0
2026-06-21 02:54:59,5.134,421.85,2165.63,0
2026-06-21 02:55:02,5.134,424.37,2175.00,0
2026-06-21 02:55:05,5.135,422.08,2168.13,0
2026-06-21 02:55:08,5.136,420.30,2158.75,0
2026-06-21 02:55:11,5.135,424.10,2178.13,0
2026-06-21 02:55:14,5.133,422.80,2191.25,0
2026-06-21 02:55:17,5.134,423.55,2173.75,0
2026-06-21 02:55:20,5.134,422.85,2171.88,0
2026-06-21 02:55:23,5.134,422.55,2170.00,0
2026-06-21 02:55:26,5.135,423.62,2175.00,0
2026-06-21 02:55:29,5.135,422.85,2168.75,0
2026-06-21 02:55:32,5.134,423.42,2173.13,0
2026-06-21 02:55:35,5.133,422.02,2165.63,0
2026-06-21 02:55:38,5.134,422.77,2165.63,0
2026-06-21 02:55:41,5.133,420.05,2155.63,0
2026-06-21 02:55:44,5.135,421.23,2162.50,0
2026-06-21 02:55:47,5.135,418.62,2150.63,0
2026-06-21 02:55:50,5.136,428.23,2199.38,0
2026-06-21 02:55:53,5.134,417.98,2157.50,0
2026-06-21 02:55:56,5.131,422.50,2168.13,0
2026-06-21 02:55:59,5.133,424.37,2178.13,0
2026-06-21 02:56:02,5.133,423.87,2179.38,0
2026-06-21 02:56:05,5.133,424.75,2180.00,0
2026-06-21 02:56:08,5.135,422.23,2168.13,0
2026-06-21 02:56:11,5.134,422.83,2170.63,0
2026-06-21 02:56:14,5.136,422.12,2168.13,0
2026-06-21 02:56:17,5.133,422.02,2171.88,0
2026-06-21 02:56:20,5.135,422.98,2171.88,0
2026-06-21 02:56:23,5.134,422.90,2170.63,0
2026-06-21 02:56:26,5.135,423.40,2170.63,0
2026-06-21 02:56:29,5.134,422.08,2168.13,0
2026-06-21 02:56:32,5.134,422.25,2166.88,0
2026-06-21 02:56:35,5.134,421.33,2162.50,0
2026-06-21 02:56:38,5.135,421.17,2162.50,0
2026-06-21 02:56:41,5.134,422.17,2170.63,0
2026-06-21 02:56:44,5.134,421.35,2161.88,0
2026-06-21 02:56:47,5.134,420.65,2159.38,0
2026-06-21 02:56:50,5.133,422.15,2165.63,0
2026-06-21 02:56:53,5.134,421.92,2165.63,0
2026-06-21 02:56:56,5.135,420.23,2161.88,0
2026-06-21 02:56:59,5.135,422.27,2168.75,0
2026-06-21 02:57:02,5.133,422.25,2166.88,0
2026-06-21 02:57:05,5.134,422.08,2170.63,0
2026-06-21 02:57:08,5.134,424.70,2180.00,0
2026-06-21 02:57:11,5.133,424.35,2178.13,0
2026-06-21 02:57:14,5.134,421.12,2162.50,0
2026-06-21 02:57:18,5.135,422.33,2168.75,0
2026-06-21 02:57:21,5.134,421.42,2166.88,0
2026-06-21 02:57:24,5.134,423.30,2171.88,0
2026-06-21 02:57:27,5.135,421.20,2162.50,0
2026-06-21 02:57:30,5.134,422.17,2168.13,0
2026-06-21 02:57:33,5.133,421.50,2163.75,0
2026-06-21 02:57:36,5.135,422.37,2168.75,0
2026-06-21 02:57:39,5.137,404.50,2077.50,0
2026-06-21 02:57:42,5.134,421.05,2166.88,0
2026-06-21 02:57:45,5.134,422.15,2166.88,0
2026-06-21 02:57:48,5.133,421.27,2162.50,0
2026-06-21 02:57:51,5.135,421.05,2161.88,0
2026-06-21 02:57:54,5.135,422.02,2166.88,0
2026-06-21 02:57:57,5.135,421.98,2166.88,0
2026-06-21 02:58:00,5.134,405.08,2080.00,0
2026-06-21 02:58:03,5.135,421.70,2165.63,0
2026-06-21 02:58:06,5.135,422.10,2168.13,0
2026-06-21 02:58:09,5.134,421.77,2165.63,0
